ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Daniyal,1,1771510202752,-1.64595,4.674,8.17695,8.83931,-1.97742,-1.59927
Daniyal,2,1771510202764,-1.64595,4.674,8.17695,0.85872,-8.80779,-9.03626
Daniyal,3,1771510202772,-1.74105,4.38495,7.62195,-6.52312,-14.9055,-13.12503
Daniyal,4,1771510202783,-1.74105,4.38495,7.62195,-14.57461,-23.07516,-16.11086
Daniyal,5,1771510202792,-2.18205,4.617,7.866,-21.88556,-32.15869,-17.02472
Daniyal,6,1771510202804,-2.18205,4.617,7.866,-27.62086,-41.30524,-16.84353
Daniyal,7,1771510202814,-2.45295,4.77495,8.388,-31.40239,-48.75011,-16.11086
Daniyal,8,1771510202827,-2.36895,4.78395,8.47395,-34.20701,-54.11515,-13.2432
Daniyal,9,1771510202836,-2.36895,4.78395,8.47395,-34.87666,-53.50065,-10.74582
Daniyal,10,1771510202848,-1.58295,4.557,8.65605,-34.02581,-52.40559,-10.38343
Daniyal,11,1771510202859,-1.58295,4.557,8.65605,-32.43443,-47.40295,-10.62765
Daniyal,12,1771510202869,-1.938,4.37505,8.139,-33.78159,-37.04316,-5.62501
Daniyal,13,1771510202881,-1.938,4.37505,8.139,-35.42813,-38.20124,-6.47586
Daniyal,14,1771510202892,-1.63605,4.272,7.90695,-38.10671,-34.47487,-6.7831
Daniyal,15,1771510202903,-1.63605,4.272,7.90695,-40.73014,-32.28474,-4.71115
Daniyal,16,1771510202916,-1.05405,3.75195,8.49795,-42.0064,-37.34252,-6.05043
Daniyal,17,1771510202924,-1.05405,3.75195,8.49795,-41.46281,-36.79893,-7.63395
Daniyal,18,1771510202937,-1.25505,3.66105,8.505,-38.83937,-26.43126,-5.62501
Daniyal,19,1771510202951,-0.83895,3.16305,8.85,-34.14399,-15.51212,-3.06461
Daniyal,20,1771510202956,-0.83895,3.16305,8.85,-28.22748,-8.07512,-3.85242
Daniyal,21,1771510202969,-0.393,3.25905,8.541,-21.94858,2.89917,-5.86924
Daniyal,22,1771510202981,-0.393,3.25905,8.541,-14.75581,20.27841,-2.82038
Daniyal,23,1771510202990,-1.69605,3.456,7.64595,-13.3535,29.42496,4.07301
Daniyal,24,1771510203003,-1.69605,3.456,7.64595,-14.14131,38.3273,17.54468
Daniyal,25,1771510203016,-2.862,4.317,7.71795,-13.89709,46.85935,33.76583
Daniyal,26,1771510203025,-2.091,5.445,8.922,-2.67858,63.20656,55.84047
Daniyal,27,1771510203037,-2.091,5.445,8.922,11.52576,75.58316,69.19396
Daniyal,28,1771510203048,-2.046,5.33505,8.77095,25.30468,87.0459,81.32635
Daniyal,29,1771510203059,-2.046,5.33505,8.77095,32.4423,88.69243,91.99339
Daniyal,30,1771510203070,-0.36195,5.103,6.396,32.01688,105.58323,91.14254
Daniyal,31,1771510203081,-0.36195,5.103,6.396,31.58358,132.65262,97.17722
Daniyal,32,1771510203091,-0.45105,5.47905,6.34095,32.93075,162.16425,115.35216
Daniyal,33,1771510203103,-0.45105,5.47905,6.34095,26.5258,166.74146,125.77499
Daniyal,34,1771510203114,0.28605,2.10795,7.95495,7.31882,155.57809,118.70039
Daniyal,35,1771510203128,1.368,0.70005,9.29805,-20.79049,158.99721,99.06798
Daniyal,36,1771510203138,1.368,0.70005,9.29805,-26.707,161.92001,79.01017
Daniyal,37,1771510203148,-0.28605,0.24705,11.28795,-21.83041,162.4715,66.57053
Daniyal,38,1771510203157,-0.28605,0.24705,11.28795,-4.69539,159.66685,56.32891
Daniyal,39,1771510203168,-1.70595,1.95705,10.99305,17.86769,163.62958,51.3893
Daniyal,40,1771510203180,-1.70595,1.95705,10.99305,38.23276,167.46625,54.19393
Daniyal,41,1771510203192,-1.938,1.947,11.75205,67.56318,168.38011,71.32895
Daniyal,42,1771510203203,-1.938,1.947,11.75205,83.96553,174.11543,86.13991
Daniyal,43,1771510203213,-2.091,0.81,10.67505,88.59789,162.40848,82.30324
Daniyal,44,1771510203227,-2.148,0.53895,8.29695,31.33936,57.47125,14.67703
Daniyal,45,1771510203238,-2.148,0.53895,8.29695,-7.37397,24.30415,-24.95016
Daniyal,46,1771510203248,-6.018,4.356,6.42495,-27.06939,56.67555,-59.59048
Daniyal,47,1771510203259,-6.018,4.356,6.42495,-27.62086,39.60356,-75.9298
Daniyal,48,1771510203268,-3.78105,6.15405,8.23005,-22.92547,2.53677,-84.40672
Daniyal,49,1771510203280,-3.78105,6.15405,8.23005,-12.98322,-25.87979,-71.47863
Daniyal,50,1771510203293,-3.81,3.903,4.881,-36.09777,-14.78732,5.90075
Daniyal,51,1771510203304,-3.81,3.903,4.881,-51.4602,-2.22164,18.45855
Daniyal,52,1771510203312,-2.84505,1.911,5.58,-61.64668,-24.17023,23.15394
Daniyal,53,1771510203323,-2.84505,1.911,5.58,-73.53484,-39.23329,28.64503
Daniyal,54,1771510203334,-3.27405,-1.04505,6.396,-80.54641,-84.78486,34.8609
Daniyal,55,1771510203346,-2.71095,-2.436,4.67895,-96.34213,-113.50079,49.12827
Daniyal,56,1771510203359,-2.71095,-2.436,4.67895,-109.69563,-109.23083,46.93814
Daniyal,57,1771510203369,2.05305,-0.456,1.833,-129.44621,-107.40308,33.82886
Daniyal,58,1771510203382,2.05305,-0.456,1.833,-176.82553,-89.59842,-15.19699
Daniyal,59,1771510203390,5.349,-6.978,3.861,-192.18794,-90.39412,-43.1251
Daniyal,60,1771510203405,5.349,-6.978,3.861,-212.55301,-47.22175,-106.35529
Daniyal,61,1771510203415,-0.063,-3.66405,5.94405,-218.8398,-21.85404,-124.71143
Daniyal,62,1771510203425,-0.063,-3.66405,5.94405,-221.27415,-18.31674,-137.57648
Daniyal,63,1771510203434,-2.69205,-4.452,8.067,-213.59294,-12.52629,-145.43889
Daniyal,64,1771510203447,-5.51505,-4.971,7.91595,-192.37701,-0.63813,-146.8412
Daniyal,65,1771510203457,-5.51505,-4.971,7.91595,-184.56976,4.05726,-145.13164
Daniyal,66,1771510203473,-6.786,-4.746,5.82405,-191.02986,20.21538,-150.31548
Daniyal,67,1771510203480,-6.786,-4.746,5.82405,-196.15067,26.86456,-153.54552
Daniyal,68,1771510203493,-8.64195,-4.91595,4.81095,-219.20219,45.40189,-162.99934
Daniyal,69,1771510203502,-8.64195,-4.91595,4.81095,-234.69069,55.46231,-163.48778
Daniyal,70,1771510203514,-11.80005,-5.34,6.50595,-245.60194,65.33366,-157.63429
Daniyal,71,1771510203524,-11.80005,-5.34,6.50595,-248.59564,76.43401,-148.48773
Daniyal,72,1771510203536,-13.56405,-4.85205,8.95605,-234.07619,81.79903,-129.28076
Daniyal,73,1771510203547,-13.97595,-5.283,10.179,-220.91176,83.38255,-112.02757
Daniyal,74,1771510203558,-13.97595,-5.283,10.179,-206.69954,80.82214,-96.47607
Daniyal,75,1771510203569,-12.183,-5.41395,9.99,-196.2137,80.45975,-85.74599
Daniyal,76,1771510203584,-12.183,-5.41395,9.99,-193.71631,90.45715,-81.53905
Daniyal,77,1771510203591,-11.81895,-5.43795,10.50495,-191.5183,102.71558,-83.72919
Daniyal,78,1771510203605,-11.81895,-5.43795,10.50495,-181.03246,117.95984,-80.74336
Daniyal,79,1771510203615,-13.15695,-6.15195,12.195,-163.409,133.07803,-74.70869
Daniyal,80,1771510203624,-13.15695,-6.15195,12.195,-144.26505,143.20149,-69.0364
Daniyal,81,1771510203640,-12.954,-5.97195,12.10605,-115.73032,141.19255,-51.96441
Daniyal,82,1771510203648,-12.50895,-5.94105,11.85495,-108.29332,138.68729,-46.6624
Daniyal,83,1771510203658,-12.50895,-5.94105,11.85495,-93.41145,128.02026,-33.18285
Daniyal,84,1771510203671,-11.48595,-5.79495,10.095,-75.85102,116.1321,-12.08511
Daniyal,85,1771510203679,-11.48595,-5.79495,10.095,-73.77906,115.21035,-6.65705
Daniyal,86,1771510203689,-10.65495,-5.22495,7.67205,-74.69292,114.84795,3.09612
Daniyal,87,1771510203701,-10.65495,-5.22495,7.67205,-77.85995,112.89417,17.60771
Daniyal,88,1771510203713,-10.12905,-4.24095,7.87605,-78.10418,106.74133,26.13977
Daniyal,89,1771510203725,-10.12905,-4.24095,7.87605,-75.91404,92.52911,37.54736
Daniyal,90,1771510203736,-10.32705,-2.88795,9.015,-64.75068,74.42506,51.20023
Daniyal,91,1771510203747,-8.268,-3.62805,6.73395,-38.95755,66.49175,66.75173
Daniyal,92,1771510203756,-8.268,-3.62805,6.73395,-30.97696,79.12046,64.25435
Daniyal,93,1771510203768,-6.98295,-2.62695,4.94295,-35.05785,87.58949,56.38406
Daniyal,94,1771510203781,-6.98295,-2.62695,4.94295,-43.84201,87.29012,52.36619
Daniyal,95,1771510203793,-9.09195,-1.42095,8.52705,-43.40871,64.48282,58.70024
Daniyal,96,1771510203803,-9.09195,-1.42095,8.52705,-35.48328,41.98277,73.9445
Daniyal,97,1771510203813,-10.44495,-1.12095,9.98805,-13.66075,30.40186,93.27753
Daniyal,98,1771510203825,-10.44495,-1.12095,9.98805,12.8099,23.62663,106.93828
Daniyal,99,1771510203836,-9.87195,-0.74295,9.468,37.56311,17.83618,120.16572
Daniyal,100,1771510203847,13.21005,-6.54,8.235,51.27901,26.86456,72.84943
Daniyal,101,1771510203858,13.21005,-6.54,8.235,52.2559,62.34783,1.81198
Daniyal,102,1771510203868,-3.156,-3.633,13.42605,66.70446,86.55745,-0.44118
Daniyal,103,1771510203880,-3.156,-3.633,13.42605,113.9656,79.66405,31.26846
Daniyal,104,1771510203892,-17.42895,-3.006,12.87,173.35124,52.90191,113.03598
Daniyal,105,1771510203902,-17.42895,-3.006,12.87,169.87697,66.31055,136.93047
Daniyal,106,1771510203911,-11.84505,-4.521,1.76595,136.76503,83.5086,155.28661
Daniyal,107,1771510203925,-11.84505,-4.521,1.76595,103.35371,80.33369,158.27242
Daniyal,108,1771510203935,-6.123,-6.726,2.163,85.85629,55.70654,150.10277
Daniyal,109,1771510203947,-4.23105,-7.488,-2.16195,91.3395,27.16393,132.84956
Daniyal,110,1771510203958,-4.23105,-7.488,-2.16195,67.68136,24.24113,104.80329
Daniyal,111,1771510203975,-5.04105,-6.09195,-1.21395,24.94229,25.70647,73.58211
Daniyal,112,1771510203982,-5.04105,-6.09195,-1.21395,28.77895,-20.45173,73.03063
Daniyal,113,1771510203988,-9.28095,-5.72805,4.12905,43.41659,-29.17286,79.4986
Daniyal,114,1771510203999,-9.28095,-5.72805,4.12905,49.08887,-8.6266,74.80322
Daniyal,115,1771510204012,-9.43395,-5.60805,4.632,53.16977,22.71276,64.25435
Daniyal,116,1771510204023,-9.43395,-5.60805,4.632,50.49119,40.39925,65.23125
Daniyal,117,1771510204034,-8.517,-7.15305,3.09195,45.91397,50.64087,64.25435
Daniyal,118,1771510204046,-8.517,-7.15305,3.09195,38.83937,43.32206,59.55896
Daniyal,119,1771510204062,-6.81705,-4.61205,3.657,9.69803,4.18331,52.24014
Daniyal,120,1771510204068,-10.26705,-4.665,3.25695,-2.49738,-2.64706,48.34045
Daniyal,121,1771510204079,-10.26705,-4.665,3.25695,-0.91387,5.03415,46.69391
Daniyal,122,1771510204091,-14.49105,-4.54995,2.88795,10.06042,24.30415,42.17972
Daniyal,123,1771510204103,-14.49105,-4.54995,2.88795,34.57729,70.88776,55.53322
Daniyal,124,1771510204113,-16.04505,-3.13995,2.721,41.10041,85.09211,67.05898
Daniyal,125,1771510204125,-16.04505,-3.13995,2.721,48.7186,71.86466,92.11944
Daniyal,126,1771510204135,-13.39695,0.82695,5.32605,48.60043,51.4996,106.2056
Daniyal,127,1771510204144,-13.39695,0.82695,5.32605,25.12348,34.41972,91.74917
Daniyal,128,1771510204155,-7.998,8.39295,9.44205,11.70696,-23.50058,97.24025
Daniyal,129,1771510204166,0.834,0.348,-0.07695,-9.32775,-57.3452,39.31207
Daniyal,130,1771510204177,0.834,0.348,-0.07695,-33.1671,-62.8284,15.16548
Daniyal,131,1771510204188,-3.64005,-0.92505,4.12395,-32.009,-79.78223,2.97007
Daniyal,132,1771510204200,-3.64005,-0.92505,4.12395,-22.12978,-84.96606,6.01892
Daniyal,133,1771510204211,-9.02205,1.071,2.57505,-22.86245,-90.26807,23.21696
Daniyal,134,1771510204223,-9.02205,1.071,2.57505,-24.08356,-100.45454,36.01899
Daniyal,135,1771510204235,-6.67395,5.01405,6.44895,-16.0951,-117.88893,41.99852
Daniyal,136,1771510204246,-6.67395,5.01405,6.44895,5.00264,-131.7939,31.26846
Daniyal,137,1771510204255,0.52305,7.96395,11.697,49.3331,-145.9431,-6.9643
Daniyal,138,1771510204273,-4.33695,3.29505,10.395,143.7766,-32.95438,-77.26909
Daniyal,139,1771510204278,-4.33695,3.29505,10.395,162.62117,15.70119,-99.09949
Daniyal,140,1771510204290,-12.53505,2.05995,1.31295,184.32553,98.08321,-148.73196
Daniyal,141,1771510204301,-12.53505,2.05995,1.31295,174.99777,183.44319,-155.19206
Daniyal,142,1771510204314,-16.497,-1.66995,-8.57895,125.30229,245.45224,-144.03658
Daniyal,143,1771510204325,-16.497,-1.66995,-8.57895,94.81377,189.78511,-128.36688
Daniyal,144,1771510204337,-8.424,-6.42,-5.61495,77.44241,85.46239,-128.48506
Daniyal,145,1771510204346,-8.424,-6.42,-5.61495,58.5348,54.97387,-128.67413
Daniyal,146,1771510204358,0.204,-9.16905,0.813,18.60036,9.54834,-151.899
Daniyal,147,1771510204368,5.16705,-16.42305,16.96905,10.97429,-42.40819,-185.49939
Daniyal,148,1771510204379,5.16705,-16.42305,16.96905,40.54894,-92.7103,-216.1691
Daniyal,149,1771510204391,-2.69895,-13.869,15.49005,76.89094,-99.05223,-235.68333
Daniyal,150,1771510204403,-2.69895,-13.869,15.49005,85.42299,-109.96349,-249.70647
Daniyal,151,1771510204414,-11.91495,-11.50095,4.95705,72.43977,-100.69876,-241.83618
Daniyal,152,1771510204424,-11.91495,-11.50095,4.95705,60.00014,-74.59839,-229.40442
Daniyal,153,1771510204435,-19.45905,-8.93595,1.67205,46.40242,-41.4313,-207.62917
Daniyal,154,1771510204449,-19.974,-4.25295,-1.93305,18.53733,-20.75898,-141.29498
Daniyal,155,1771510204458,-19.974,-4.25295,-1.93305,2.62343,-16.85928,-121.22927
Daniyal,156,1771510204468,-13.821,-3.49395,-1.00605,-31.76478,30.58305,-96.05064
Daniyal,157,1771510204479,-13.821,-3.49395,-1.00605,-40.79316,71.91981,-98.79224
Daniyal,158,1771510204492,-12.15705,-0.183,1.926,-38.28791,101.06904,-99.46189
Daniyal,159,1771510204503,-12.15705,-0.183,1.926,-33.96279,147.29025,-103.24341
Daniyal,160,1771510204512,-8.718,-1.56195,1.299,-45.11827,204.17851,-90.13414
Daniyal,161,1771510204524,-8.718,-1.56195,1.299,-51.58625,179.54349,-65.44395
Daniyal,162,1771510204536,-6.29295,-6.633,6.08505,-49.75064,116.80174,-41.29737
Daniyal,163,1771510204547,-6.29295,-6.633,6.08505,-36.94862,50.39665,-10.99005
Daniyal,164,1771510204557,-3.23805,-10.179,6.489,-30.00007,14.18071,-2.93856
Daniyal,165,1771510204567,-4.332,-6.98505,5.568,-39.32782,-38.74484,-14.88974
Daniyal,166,1771510204579,-4.332,-6.98505,5.568,-45.29947,-71.73074,-22.63398
Daniyal,167,1771510204593,-5.23905,-4.20495,2.98695,-54.50906,-98.01231,-22.33461
Daniyal,168,1771510204601,-5.23905,-4.20495,2.98695,-61.4576,-107.40308,-14.95277
Daniyal,169,1771510204614,-5.163,-3.552,1.998,-54.39088,-85.45451,0.40966
Daniyal,170,1771510204623,-5.163,-3.552,1.998,-42.25063,-64.90823,-5.38079
Daniyal,171,1771510204633,-5.88105,-5.805,1.81305,-24.81623,-33.93128,-22.02736
Daniyal,172,1771510204645,-5.88105,-5.805,1.81305,-6.88552,-7.95695,-35.80628
Daniyal,173,1771510204656,-11.27805,-2.60805,2.211,8.16966,11.6203,-29.22013
Daniyal,174,1771510204671,-10.78695,-1.33695,2.83605,10.36767,10.8246,-0.74843
Daniyal,175,1771510204680,-10.78695,-1.33695,2.83605,11.16337,27.22695,-7.33458
Daniyal,176,1771510204691,-4.227,1.305,6.99195,30.60669,28.87349,-35.19967
Daniyal,177,1771510204702,-4.227,1.305,6.99195,59.81894,46.9854,-50.80631
Daniyal,178,1771510204713,-5.826,2.907,3.042,58.59782,125.08958,-37.57887
Daniyal,179,1771510204723,-5.826,2.907,3.042,28.53473,143.08331,-40.32047
Daniyal,180,1771510204736,-6.48195,-5.51205,2.58,5.79045,164.36226,-57.63669
Daniyal,181,1771510204747,-6.48195,-5.51205,2.58,-0.3624,204.54091,-79.95554
Daniyal,182,1771510204758,-4.77495,-6.327,4.347,2.56041,219.11552,-165.98515
Daniyal,183,1771510204769,-4.758,-4.94505,1.93605,-14.20434,182.83655,-202.9968
Daniyal,184,1771510204780,-4.758,-4.94505,1.93605,-48.41135,125.70407,-214.03412
Daniyal,185,1771510204792,-5.24205,-6.27105,4.002,-63.04899,36.86196,-192.9994
Daniyal,186,1771510204803,-5.24205,-6.27105,4.002,-0.06303,-103.07797,-145.55707
Daniyal,187,1771510204813,-6.156,-13.37295,0.35295,39.81627,-141.54707,-151.84384
Daniyal,188,1771510204824,-6.156,-13.37295,0.35295,68.72128,-171.0587,-185.56241
Daniyal,189,1771510204835,-7.14495,-11.481,0.91605,73.59786,-213.86867,-195.49678
Daniyal,190,1771510204847,-7.14495,-11.481,0.91605,100.7933,-195.75676,-196.41064
Daniyal,191,1771510204857,-9.29505,-9.64005,4.43295,119.14944,-130.50975,-138.42732
Daniyal,192,1771510204868,-1.85895,-16.75095,1.54005,136.58383,-76.6152,-137.93887
Daniyal,193,1771510204880,-1.85895,-16.75095,1.54005,115.42307,58.32209,-165.68579
Daniyal,194,1771510204891,-2.32605,-11.424,1.524,73.29061,93.87627,-176.66006
Daniyal,195,1771510204901,-2.32605,-11.424,1.524,53.05159,82.95713,-158.97359
Daniyal,196,1771510204911,-3.48405,-7.39005,3.183,58.84205,51.25537,-117.39261
Daniyal,197,1771510204929,-3.48405,-7.39005,3.183,42.55787,-38.31942,-69.46182
Daniyal,198,1771510204934,0.159,-9.26205,3.48705,24.87926,-71.73074,-42.08518
Daniyal,199,1771510204945,0.159,-9.26205,3.48705,15.66968,-52.16136,-22.8782
Daniyal,200,1771510204955,0.42405,-12.05805,4.785,9.20958,-44.3541,-9.58773
Daniyal,201,1771510204967,0.42405,-12.05805,4.785,5.79045,-38.0752,8.82355
Daniyal,202,1771510204981,-2.54595,-12.52995,4.45695,6.76735,-29.59828,35.77477
Daniyal,203,1771510204991,-2.81895,-12.738,4.22895,10.79309,-21.98009,51.7517
Daniyal,204,1771510205002,-2.81895,-12.738,4.22895,16.15812,-12.28207,69.68241
Daniyal,205,1771510205014,-2.97405,-10.64595,4.44495,19.6324,-6.55464,94.67984
Daniyal,206,1771510205024,-2.97405,-10.64595,4.44495,14.39342,-10.02891,106.93828
Daniyal,207,1771510205035,-2.457,-7.749,2.805,-11.15549,-25.94281,103.15675
Daniyal,208,1771510205048,-2.457,-7.749,2.805,-34.69546,-26.25006,97.9099
Daniyal,209,1771510205057,-3.80295,-4.17195,2.90295,-39.0836,-5.57774,95.95611
Daniyal,210,1771510205067,-3.80295,-4.17195,2.90295,-27.43966,19.66391,89.13361
Daniyal,211,1771510205079,-4.08105,-3.903,4.38705,-8.47691,31.00847,75.83527
Daniyal,212,1771510205091,-4.99305,-4.10205,5.244,15.55151,13.56621,54.37513
Daniyal,213,1771510205101,-4.99305,-4.10205,5.244,23.35089,-2.83614,41.44705
Daniyal,214,1771510205111,-4.81605,-7.22205,4.14795,23.29575,-7.28731,28.51897
Daniyal,215,1771510205125,-4.81605,-7.22205,4.14795,9.9974,-1.24475,17.30046
Daniyal,216,1771510205136,-5.20395,-9.26895,3.56595,-1.09507,6.61766,15.4097
Daniyal,217,1771510205147,-5.20395,-9.26895,3.56595,-7.01157,17.16653,13.03049
Daniyal,218,1771510205157,-4.15995,-10.512,4.36095,-1.70956,24.60352,8.03573
Daniyal,219,1771510205168,-4.15995,-10.512,4.36095,-3.3561,22.71276,2.6707
Daniyal,220,1771510205179,-3.858,-9.11295,4.45005,2.86765,23.08304,6.08195
Daniyal,221,1771510205192,-4.06905,-5.376,4.75095,20.18387,22.10614,9.01263
Daniyal,222,1771510205201,-4.06905,-5.376,4.75095,64.87673,30.09461,8.03573
Daniyal,223,1771510205213,-6.28095,-4.70295,3.43395,114.75342,10.51736,0.71691
Daniyal,224,1771510205223,-6.28095,-4.70295,3.43395,101.34477,3.87606,-2.15074
Daniyal,225,1771510205233,-6.528,-5.82105,-1.97595,24.87926,39.78476,-33.06468
Daniyal,226,1771510205245,-6.528,-5.82105,-1.97595,-21.64133,44.05472,-41.47857
Daniyal,227,1771510205256,-7.67205,-5.958,5.412,-39.2648,35.39661,-30.55942
Daniyal,228,1771510205266,-7.67205,-5.958,5.412,-18.59248,20.09721,-13.18806
Daniyal,229,1771510205276,-2.73495,-13.92105,8.55795,10.18647,22.90184,-6.35768
Daniyal,230,1771510205288,-4.38,-12.24,3.564,5.67228,-10.21011,-4.46692
Daniyal,231,1771510205300,-4.38,-12.24,3.564,-7.19277,-14.84247,9.01263
Daniyal,232,1771510205312,-3.954,-10.155,4.22895,-12.92808,-17.22168,15.83512
Daniyal,233,1771510205322,-3.954,-10.155,4.22895,-9.9974,-27.03788,18.03313
Daniyal,234,1771510205335,-4.248,-7.06605,4.07805,-2.31618,-49.60096,17.42651
Daniyal,235,1771510205348,-4.248,-7.06605,4.07805,-0.97689,-57.52639,14.00739
Daniyal,236,1771510205359,-4.30095,-5.41905,3.06105,-5.60926,-55.45444,8.64235
Daniyal,237,1771510205368,-4.30095,-5.41905,3.06105,-8.96536,-51.24749,4.74266
Daniyal,238,1771510205378,-3.52305,-5.07195,3.48,-15.9139,-34.29367,-9.22534
Daniyal,239,1771510205391,-3.18,-6.372,4.344,-18.23008,-14.5431,-11.59667
Daniyal,240,1771510205400,-3.18,-6.372,4.344,-12.13238,-4.96325,-9.83196
Daniyal,241,1771510205411,-3.51795,-7.524,3.726,-7.92544,8.083,-3.67123
Daniyal,242,1771510205421,-3.51795,-7.524,3.726,-18.71853,31.00847,3.21429
Daniyal,243,1771510205431,-3.774,-8.505,6.099,-24.20174,26.62033,5.47533
Daniyal,244,1771510205443,-3.774,-8.505,6.099,-6.83037,5.15232,3.58457
Daniyal,245,1771510205455,-4.62195,-8.943,5.53395,11.88816,3.99423,2.60767
Daniyal,246,1771510205467,-4.62195,-8.943,5.53395,27.92811,9.91074,1.81198
Daniyal,247,1771510205477,-4.734,-8.08395,4.02105,33.6004,8.32722,1.07931
Daniyal,248,1771510205487,-4.734,-8.08395,4.02105,24.08356,1.3708,0.40966
Daniyal,249,1771510205498,-4.176,-6.42,2.45505,-6.83037,5.09718,-2.51314
Daniyal,250,1771510205509,-4.18095,-6.65505,4.41105,-14.81884,11.49425,-3.37186
Daniyal,251,1771510205520,-4.18095,-6.65505,4.41105,-11.82513,9.79257,-1.17385
Daniyal,252,1771510205531,-3.96105,-7.32,4.56195,-4.75841,7.83878,-1.23687
Daniyal,253,1771510205543,-3.96105,-7.32,4.56195,0.48845,1.13446,-0.62238
Daniyal,254,1771510205553,-4.36305,-7.81605,3.67095,-0.48845,-0.45693,-0.37815
Daniyal,255,1771510205565,-4.36305,-7.81605,3.67095,-6.83037,3.50579,0.35452
Daniyal,256,1771510205578,-5.32095,-7.93995,3.609,-9.14655,8.57145,3.76576
Daniyal,257,1771510205589,-5.94105,-8.01705,3.69105,-6.88552,9.84771,8.64235
Daniyal,258,1771510205601,-5.94105,-8.01705,3.69105,-2.00893,8.63447,9.37502
Daniyal,259,1771510205611,-6.19005,-7.91205,3.006,0.91387,9.66651,9.06777
Daniyal,260,1771510205623,-6.19005,-7.91205,3.006,-2.37921,10.09194,6.63342
Daniyal,261,1771510205636,-5.556,-7.83,3.97995,-8.65811,4.78993,2.60767
Daniyal,262,1771510205646,-5.556,-7.83,3.97995,-8.35086,-3.07249,-0.07878
Daniyal,263,1771510205657,-4.66695,-7.51605,4.58595,-5.72743,-8.0121,-2.39496
Daniyal,264,1771510205668,-4.66695,-7.51605,4.58595,-3.23005,-9.17019,-3.12763
Daniyal,265,1771510205678,-4.509,-7.356,4.086,-2.13498,-6.60978,-1.96954
Daniyal,266,1771510205688,-4.509,-7.356,4.086,-2.31618,-2.95431,0.53572
Daniyal,267,1771510205700,-4.39395,-7.39005,3.95895,-3.41125,-1.30778,2.42648
Daniyal,268,1771510205712,-4.27005,-7.44705,4.18095,-4.32512,-1.7332,1.93803
Daniyal,269,1771510205722,-4.27005,-7.44705,4.18095,-5.23898,-2.95431,1.26839
Daniyal,270,1771510205734,-4.05195,-7.512,3.99705,-6.16073,-1.48897,-0.13393
Daniyal,271,1771510205745,-4.05195,-7.512,3.99705,-5.79045,0.33876,-1.29202
Daniyal,272,1771510205756,-4.107,-7.80405,4.20105,-4.45117,0.94538,-1.4811
Daniyal,273,1771510205768,-4.107,-7.80405,4.20105,-2.98583,1.3708,-0.62238
Daniyal,274,1771510205778,-4.35405,-8.08395,4.00695,-2.19013,1.49685,0.47269
Daniyal,275,1771510205790,-4.68195,-8.15805,3.97995,-1.33929,1.13446,1.38656
Daniyal,276,1771510205799,-4.68195,-8.15805,3.97995,-0.85084,-0.39391,1.81198
Daniyal,277,1771510205813,-4.461,-8.19195,4.095,0.06303,-2.59192,1.26839
Daniyal,278,1771510205823,-4.461,-8.19195,4.095,1.46534,-4.84507,-0.19695
Daniyal,279,1771510205833,-4.236,-7.94295,4.22895,2.80463,-7.22428,-0.92962
Daniyal,280,1771510205845,-4.236,-7.94295,4.22895,3.66335,-7.6497,-1.17385
Daniyal,281,1771510205856,-4.12905,-7.70595,4.12395,3.3561,-6.00317,-0.92962
Daniyal,282,1771510205869,-4.09305,-7.593,3.99495,2.7416,-3.50579,-0.8666
Daniyal,283,1771510205878,-4.09305,-7.593,3.99495,2.37921,-2.52889,-0.56723
Daniyal,284,1771510205889,-4.09305,-7.593,3.99495,1.89076,-0.14969,0.04727
Daniyal,285,1771510205900,-4.13295,-7.512,4.038,2.37921,2.47375,0.40966
Daniyal,286,1771510205912,-3.99195,-7.60695,4.06395,2.62343,3.20641,0.35452
Daniyal,287,1771510205924,-3.99195,-7.60695,4.06395,2.01681,4.05726,0.47269
Daniyal,288,1771510205934,-3.954,-7.69605,4.00695,0.85872,4.5457,0.47269
Daniyal,289,1771510205946,-3.954,-7.69605,4.00695,0.12605,4.85295,0.71691
Daniyal,290,1771510205958,-4.22205,-7.677,3.978,0.30725,5.82197,1.20536
Daniyal,291,1771510205967,-4.22205,-7.677,3.978,0.55147,6.31041,2.00106
Daniyal,292,1771510205979,-4.50705,-7.66995,4.023,0.97689,5.76682,2.11923
Daniyal,293,1771510205988,-4.50705,-7.66995,4.023,1.89076,5.3414,1.75683
Daniyal,294,1771510206000,-4.761,-7.653,4.026,2.19801,4.7269,2.0562
Daniyal,295,1771510206013,-4.71495,-7.75605,3.82005,0,6.12922,2.24528
Daniyal,296,1771510206025,-4.71495,-7.75605,3.82005,-1.89076,6.86189,1.51261
Daniyal,297,1771510206035,-4.76295,-7.82295,3.975,-1.58351,6.92491,1.02416
Daniyal,298,1771510206047,-4.76295,-7.82295,3.975,-0.42542,5.94802,0.65389
Daniyal,299,1771510206055,-4.69395,-7.72005,4.17195,1.22112,4.5457,-0.01576
Daniyal,300,1771510206065,-4.69395,-7.72005,4.17195,2.98583,3.50579,-0.25998
Daniyal,301,1771510206077,-4.85895,-7.62705,4.07595,4.02574,2.41072,-0.07878
Daniyal,302,1771510206090,-4.84005,-7.677,3.846,3.90757,1.85925,-0.01576
