ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Daniyal ,1,1774065117656,-1.344,5.73495,6.91095,-15.48848,-7.62607,1.26051
Daniyal ,2,1774065117665,-1.00905,5.89095,7.32705,-24.02842,-24.27264,1.4417
Daniyal ,3,1774065117673,-1.00905,5.89095,7.32705,-23.603,-26.22643,0.52784
Daniyal ,4,1774065117680,-0.14205,5.86395,8.532,-20.36507,-26.1634,-2.03257
Daniyal ,5,1774065117687,-0.14205,5.86395,8.532,-14.63764,-21.09774,-6.35768
Daniyal ,6,1774065117699,-0.135,6.23805,9.03,-8.29571,-12.62871,-10.56463
Daniyal ,7,1774065117710,-0.135,6.23805,9.03,-3.48215,-3.3561,-13.98375
Daniyal ,8,1774065117721,-0.52305,6.15195,8.115,-3.11188,3.77364,-16.54416
Daniyal ,9,1774065117732,-0.52305,6.15195,8.115,-6.64918,7.79939,-17.70225
Daniyal ,10,1774065117743,-1.026,6.096,7.20105,-16.15812,6.4601,-17.45802
Daniyal ,11,1774065117754,-1.24605,6.03405,7.57395,-22.31885,1.70168,-16.60718
Daniyal ,12,1774065117765,-1.24605,6.03405,7.57395,-25.49376,-3.84455,-15.50424
Daniyal ,13,1774065117776,-1.002,5.75205,8.379,-25.36771,-9.33563,-14.59037
Daniyal ,14,1774065117789,-1.002,5.75205,8.379,-20.18387,-15.24426,-15.01579
Daniyal ,15,1774065117798,-0.81705,5.46195,9.14205,-13.7868,-17.19804,-15.50424
Daniyal ,16,1774065117809,-0.81705,5.46195,9.14205,-6.64918,-17.93071,-15.68544
Daniyal ,17,1774065117820,-0.918,5.151,8.99205,-0.6145,-20.12872,-15.81149
Daniyal ,18,1774065117831,-0.918,5.151,8.99205,2.7416,-24.39081,-15.44909
Daniyal ,19,1774065117842,-1.131,4.66005,8.33295,3.59245,-28.23536,-13.36925
Daniyal ,20,1774065117855,-1.69605,4.91595,7.833,2.00893,-26.22643,-10.50948
Daniyal ,21,1774065117865,-1.69605,4.91595,7.833,-1.64654,-23.11455,-6.42071
Daniyal ,22,1774065117876,-1.10205,4.50405,7.62705,-6.28678,-22.87033,-2.88341
Daniyal ,23,1774065117886,-1.10205,4.50405,7.62705,-10.73795,-25.00531,-1.90652
Daniyal ,24,1774065117898,-0.46995,4.095,7.866,-14.75581,-22.20068,-3.55305
Daniyal ,25,1774065117910,-0.46995,4.095,7.866,-13.59772,-14.57461,-4.28572
Daniyal ,26,1774065117921,-0.86805,4.923,8.328,-10.79309,-6.64918,-3.73425
Daniyal ,27,1774065117933,-0.86805,4.923,8.328,-9.57198,-2.50526,-2.27679
Daniyal ,28,1774065117943,-0.597,4.81605,7.68405,-11.16337,-3.9706,-3.00946
Daniyal ,29,1774065117957,-0.28605,4.938,7.19295,-13.84194,-7.50002,-5.08142
Daniyal ,30,1774065117964,-0.28605,4.938,7.19295,-16.77262,-13.29835,-7.76
Daniyal ,31,1774065117975,-0.05595,5.02095,7.47405,-18.78156,-19.51423,-11.17912
Daniyal ,32,1774065117987,-0.05595,5.02095,7.47405,-19.82148,-22.74428,-14.77157
Daniyal ,33,1774065117999,-0.24495,4.89705,7.38705,-20.73534,-17.19804,-17.15078
Daniyal ,34,1774065118008,-0.24495,4.89705,7.38705,-23.65814,-8.66599,-17.395
Daniyal ,35,1774065118022,-0.37395,4.677,7.536,-24.39081,-7.62607,-19.71118
Daniyal ,36,1774065118033,-0.37395,4.677,7.536,-24.94229,-6.04256,-20.62505
Daniyal ,37,1774065118045,-0.08505,4.344,7.49505,-27.50269,-4.39602,-22.46066
Daniyal ,38,1774065118060,-0.23295,4.24995,7.90005,-29.51162,-3.1749,-23.42968
Daniyal ,39,1774065118067,-0.23295,4.24995,7.90005,-30.12612,1.52049,-22.46066
Daniyal ,40,1774065118078,-0.255,3.92505,8.93595,-29.33043,5.30201,-21.11349
Daniyal ,41,1774065118088,-0.255,3.92505,8.93595,-21.83041,1.09507,-17.33197
Daniyal ,42,1774065118100,-0.38895,3.738,8.97195,-15.12609,1.76471,-15.07882
Daniyal ,43,1774065118112,-0.38895,3.738,8.97195,-8.29571,3.16702,-12.33721
Daniyal ,44,1774065118123,-0.47205,4.00905,8.529,-2.50526,4.20694,-9.89498
Daniyal ,45,1774065118133,-0.47205,4.00905,8.529,0.85084,1.63866,-8.42964
Daniyal ,46,1774065118144,-0.12495,3.819,7.713,-1.89076,-6.83037,-9.28836
Daniyal ,47,1774065118157,-0.20205,3.978,7.11405,-5.79833,-8.72113,-10.50948
Daniyal ,48,1774065118168,-0.20205,3.978,7.11405,-9.94225,-8.35874,-11.36032
Daniyal ,49,1774065118180,-0.07305,4.02105,6.765,-17.07199,-8.60296,-13.55833
Daniyal ,50,1774065118190,-0.07305,4.02105,6.765,-20.97957,-9.57985,-15.92966
Daniyal ,51,1774065118201,0.003,3.74805,7.08795,-22.50005,-9.76105,-18.67914
Daniyal ,52,1774065118213,0.003,3.74805,7.08795,-21.89343,-9.57985,-20.38083
Daniyal ,53,1774065118224,-0.597,3.90795,7.33905,-20.55414,-7.01945,-20.86927
Daniyal ,54,1774065118233,-0.597,3.90795,7.33905,-23.1697,-9.69803,-21.53892
Daniyal ,55,1774065118246,-1.236,3.77895,7.45695,-31.77266,-12.62871,-19.77421
Daniyal ,56,1774065118260,-0.714,3.633,8.11005,-38.35881,-0.73267,-13.92073
Daniyal ,57,1774065118266,-0.714,3.633,8.11005,-38.23276,0.91387,-12.94383
Daniyal ,58,1774065118278,-0.228,3.40305,8.58,-35.24693,3.96272,-12.69961
Daniyal ,59,1774065118288,-0.228,3.40305,8.58,-30.91394,7.12974,-11.54152
Daniyal ,60,1774065118299,0.43905,3.73995,7.79895,-29.81887,3.83667,-10.44645
Daniyal ,61,1774065118316,1.38705,3.61095,8.19705,-38.96543,-10.67492,-17.08775
Daniyal ,62,1774065118327,1.38705,3.61095,8.19705,-48.04896,-20.49112,-25.44649
Daniyal ,63,1774065118333,1.38705,3.61095,8.19705,-50.67239,-25.43073,-30.32308
Daniyal ,64,1774065118345,0.585,3.31695,10.962,-44.14927,-39.02845,-42.09306
Daniyal ,65,1774065118355,-0.00795,3.42705,12.48705,-29.63767,-43.84201,-43.36932
Daniyal ,66,1774065118367,-0.00795,3.42705,12.48705,-12.50266,-43.59779,-41.29737
Daniyal ,67,1774065118378,0.17505,2.589,10.69905,2.98583,-43.10934,-39.5878
Daniyal ,68,1774065118388,0.17505,2.589,10.69905,11.64394,-41.83308,-38.00429
Daniyal ,69,1774065118399,0.22305,2.76795,9.47505,4.26209,-52.38195,-38.18549
Daniyal ,70,1774065118411,0.22305,2.76795,9.47505,-13.72377,-57.68396,-38.00429
Daniyal ,71,1774065118422,0.099,2.874,9.13005,-34.51426,-51.64928,-37.33465
Daniyal ,72,1774065118433,0.099,2.874,9.13005,-49.20705,-41.65188,-35.75113
Daniyal ,73,1774065118445,-0.22095,2.457,11.06505,-52.20075,-28.84198,-27.3924
Daniyal ,74,1774065118456,-0.48405,2.409,11.69205,-43.47962,-22.74428,-18.73429
Daniyal ,75,1774065118466,-0.48405,2.409,11.69205,-29.8819,-16.46537,-11.1161
Daniyal ,76,1774065118478,1.17405,3.29295,10.79895,-15.66968,-4.93961,-8.79992
Daniyal ,77,1774065118491,1.17405,3.29295,10.79895,-2.37921,-1.59139,-14.83459
Daniyal ,78,1774065118500,2.079,3.38595,9.67905,-1.10294,-14.39342,-22.76003
Daniyal ,79,1774065118512,2.079,3.38595,9.67905,-1.70956,-33.29314,-30.32308
Daniyal ,80,1774065118522,0.15105,3.73305,9.49395,-0.37027,-48.29318,-32.57623
Daniyal ,81,1774065118536,0.38595,4.191,8.76195,-5.79833,-43.84201,-27.03
Daniyal ,82,1774065118545,0.38595,4.191,8.76195,-15.48848,-35.3651,-30.44125
Daniyal ,83,1774065118555,1.07805,4.55505,8.69505,-28.72381,-18.04889,-34.04157
Daniyal ,84,1774065118567,1.07805,4.55505,8.69505,-39.81627,-4.39602,-32.39503
Daniyal ,85,1774065118578,1.95,4.236,8.76195,-53.83941,7.86241,-32.33201
Daniyal ,86,1774065118590,1.95,4.236,8.76195,-70.00542,16.4575,-37.46069
Daniyal ,87,1774065118600,1.39905,3.144,11.13405,-83.72131,13.65287,-50.3809
Daniyal ,88,1774065118611,1.39905,3.144,11.13405,-80.31006,0.72479,-51.53899
Daniyal ,89,1774065118621,-1.19805,3.489,12.87705,-65.85361,-17.19804,-46.23698
Daniyal ,90,1774065118633,-1.19805,3.489,12.87705,-47.80473,-25.24953,-34.71122
Daniyal ,91,1774065118645,-0.58695,2.67,12.86295,-20.0657,-42.01428,-31.23694
Daniyal ,92,1774065118656,-0.16395,2.57895,11.13705,-3.96272,-54.39088,-42.1482
Daniyal ,93,1774065118666,-0.16395,2.57895,11.13705,14.26737,-37.93339,-50.44392
Daniyal ,94,1774065118678,2.59095,1.32705,11.20605,37.06679,-9.51683,-64.04164
Daniyal ,95,1774065118686,2.59095,1.32705,11.20605,49.2622,5.90863,-72.88094
Daniyal ,96,1774065118698,0.645,1.74405,10.62405,48.59255,16.21327,-74.59051
Daniyal ,97,1774065118711,0.645,1.74405,10.62405,26.39975,0.85084,-65.38093
Daniyal ,98,1774065118724,-1.203,2.86695,9.51105,9.87135,2.37133,-55.56473
Daniyal ,99,1774065118734,-1.203,2.86695,9.51105,0.73267,14.51159,-39.16238
Daniyal ,100,1774065118749,-0.681,3.07995,10.96395,-7.31882,23.10667,-14.10192
Daniyal ,101,1774065118757,1.14705,3.642,12.04905,-7.87029,18.71853,-6.54676
Daniyal ,102,1774065118768,1.14705,3.642,12.04905,-0.91387,15.4806,-4.8372
Daniyal ,103,1774065118778,1.65,3.25905,11.187,10.1786,19.50635,-7.88605
Daniyal ,104,1774065118789,1.65,3.25905,11.187,21.03471,18.04101,-13.36925
Daniyal ,105,1774065118799,0.585,2.75895,10.593,30.72486,11.33669,-18.55309
Daniyal ,106,1774065118813,0.585,2.75895,10.593,41.39978,7.31094,-21.42074
Daniyal ,107,1774065118823,-0.85605,2.85,9.846,46.76482,11.27366,-18.25372
Daniyal ,108,1774065118832,-0.85605,2.85,9.846,49.50642,15.29941,-11.78574
Daniyal ,109,1774065118844,-1.71495,3.16605,9.04695,48.59255,14.69279,-3.67911
Daniyal ,110,1774065118855,-1.164,3.357,8.28,37.98066,5.30201,6.57039
Daniyal ,111,1774065118866,-1.164,3.357,8.28,27.92023,-8.84718,8.20905
Daniyal ,112,1774065118878,-0.48,4.16205,9.207,21.21591,-25.18651,8.94172
Daniyal ,113,1774065118890,-0.48,4.16205,9.207,16.64657,-33.17497,5.04203
Daniyal ,114,1774065118900,-0.642,5.091,10.383,15.72483,-31.70963,2.66282
Daniyal ,115,1774065118913,-0.642,5.091,10.383,15.72483,-32.07991,3.94696
Daniyal ,116,1774065118923,-1.152,4.73595,10.287,13.89709,-39.63507,9.49319
Daniyal ,117,1774065118933,-1.152,4.73595,10.287,11.33669,-42.99117,14.00739
Daniyal ,118,1774065118946,-0.168,4.52295,9.20205,8.10664,-35.60933,19.19122
Daniyal ,119,1774065118956,0.333,4.37505,8.30895,1.45746,-26.40763,24.24901
Daniyal ,120,1774065118966,0.333,4.37505,8.30895,-6.16073,-28.05416,28.1487
Daniyal ,121,1774065118978,1.317,3.91005,7.644,-16.83565,-22.50005,30.59093
Daniyal ,122,1774065118988,1.317,3.91005,7.644,-24.69806,-11.83301,27.66025
Daniyal ,123,1774065119001,1.12605,3.11295,7.81095,-30.18127,2.43435,21.44438
Daniyal ,124,1774065119015,1.12605,3.11295,7.81095,-34.08884,17.56044,16.87504
Daniyal ,125,1774065119021,0.003,3.384,7.91205,-30.48852,19.68755,19.79784
Daniyal ,126,1774065119033,0.003,3.384,7.91205,-32.01688,36.33412,27.17969
Daniyal ,127,1774065119043,-1.356,2.14095,7.51905,-37.31889,39.13874,32.59986
Daniyal ,128,1774065119057,-1.239,2.20095,7.81395,-45.30735,22.92547,42.36092
Daniyal ,129,1774065119066,-1.239,2.20095,7.81395,-49.57732,10.48584,48.45862
Daniyal ,130,1774065119079,-0.36705,2.26605,10.22895,-49.45127,-5.97953,51.86987
Daniyal ,131,1774065119090,-0.36705,2.26605,10.22895,-43.53476,-25.00531,54.36725
Daniyal ,132,1774065119099,0.56295,2.25405,11.25405,-24.87926,-28.78683,55.04477
Daniyal ,133,1774065119111,0.56295,2.25405,11.25405,-9.14655,-24.82411,51.50747
Daniyal ,134,1774065119124,-0.52005,0.88905,10.51695,10.24162,-28.54261,46.32364
Daniyal ,135,1774065119133,-0.52005,0.88905,10.51695,20.97169,-11.28154,45.95336
Daniyal ,136,1774065119143,-0.633,2.41905,8.92395,23.04365,0.91387,51.86987
Daniyal ,137,1774065119154,-0.11295,2.89995,8.163,14.08617,15.66968,61.7491
Daniyal ,138,1774065119165,-0.11295,2.89995,8.163,5.97165,6.6413,64.00225
Daniyal ,139,1774065119175,1.425,2.53095,8.06505,-2.62343,-9.27261,63.51381
Daniyal ,140,1774065119187,1.425,2.53095,8.06505,-11.10034,-10.73795,61.5679
Daniyal ,141,1774065119196,1.866,2.30595,10.94505,-13.59772,-5.49108,57.8494
Daniyal ,142,1774065119207,1.866,2.30595,10.94505,-7.20065,2.25316,55.04477
Daniyal ,143,1774065119218,1.25505,2.709,10.96695,10.60402,22.25583,58.09362
Daniyal ,144,1774065119229,1.25505,2.709,10.96695,16.89079,36.15292,61.7491
Daniyal ,145,1774065119240,0.807,2.472,9.762,17.00897,40.54106,62.84416
Daniyal ,146,1774065119251,0.807,2.472,9.762,17.13502,34.87666,60.52798
Daniyal ,147,1774065119262,0.61395,2.35905,9.288,16.64657,29.99219,56.13984
Daniyal ,148,1774065119274,0.68805,1.626,7.701,7.98846,33.47434,40.47016
Daniyal ,149,1774065119287,0.68805,1.626,7.701,1.33929,43.58991,27.66025
Daniyal ,150,1774065119296,1.27395,0.70005,7.701,-2.9937,58.96022,16.50477
Daniyal ,151,1774065119307,1.27395,0.70005,7.701,-2.80463,71.69922,5.7747
Daniyal ,152,1774065119319,1.54305,0.585,9.528,-0.55147,66.75961,-9.77681
Daniyal ,153,1774065119331,1.54305,0.585,9.528,2.31618,55.73017,-17.5762
Daniyal ,154,1774065119342,15.37905,-1.20795,10.383,3.23005,-3.1749,-39.4066
Daniyal ,155,1774065119354,15.37905,-1.20795,10.383,18.29311,20.66444,-27.2112
Daniyal ,156,1774065119367,-2.73495,4.39395,11.03595,19.08093,-4.69539,9.312
Daniyal ,157,1774065119377,-3.73305,4.332,8.12505,13.29047,-14.75581,15.5909
Daniyal ,158,1774065119388,-3.73305,4.332,8.12505,6.2789,1.88288,28.63715
Daniyal ,159,1774065119399,1.02495,2.148,9.099,-5.73531,10.73007,34.12823
Daniyal ,160,1774065119409,1.02495,2.148,9.099,-17.37924,13.04625,27.84933
Daniyal ,161,1774065119421,2.38305,2.103,10.77,-18.53733,12.739,20.89291
Daniyal ,162,1774065119434,2.38305,2.103,10.77,-13.23533,11.46274,10.16284
Daniyal ,163,1774065119443,2.4,2.89095,11.613,-3.78152,10.84824,3.15127
Daniyal ,164,1774065119456,2.4,2.89095,11.613,4.69539,12.67597,-2.70221
Daniyal ,165,1774065119468,1.10895,3.075,9.93195,7.01157,10.66704,-4.52995
Daniyal ,166,1774065119478,0.12495,2.09595,9.17295,6.4601,13.40864,-1.96954
Daniyal ,167,1774065119488,0.12495,2.09595,9.17295,8.28783,14.56674,-0.81145
Daniyal ,168,1774065119501,-0.02205,2.811,10.06695,14.38554,12.5578,0.65389
Daniyal ,169,1774065119511,-0.02205,2.811,10.06695,23.04365,14.44856,5.64865
Daniyal ,170,1774065119523,-0.65205,2.44995,9.93705,23.10667,13.5347,6.38132
Daniyal ,171,1774065119534,-0.65205,2.44995,9.93705,21.88556,14.99216,6.50737
Daniyal ,172,1774065119543,-0.786,2.835,9.27405,23.35089,13.5347,7.24004
Daniyal ,173,1774065119553,-0.786,2.835,9.27405,22.31098,15.66968,9.06777
Daniyal ,174,1774065119564,-0.30705,2.53905,9.86805,19.87662,20.66444,10.16284
Daniyal ,175,1774065119578,0.29295,2.60295,10.98405,23.90237,8.90233,6.20012
Daniyal ,176,1774065119589,0.29295,2.60295,10.98405,28.89713,5.6644,1.68593
Daniyal ,177,1774065119600,-0.144,2.62695,11.151,34.56941,6.76735,-0.20483
Daniyal ,178,1774065119611,-0.144,2.62695,11.151,38.77635,5.12081,4.55358
Daniyal ,179,1774065119622,-0.231,1.19505,9.37695,40.54894,2.12711,8.3351
Daniyal ,180,1774065119635,-0.231,1.19505,9.37695,36.09777,2.67858,2.17437
Daniyal ,181,1774065119646,0.48405,1.58295,8.90505,31.27633,7.98059,-1.60715
Daniyal ,182,1774065119655,0.48405,1.58295,8.90505,25.60405,12.86505,-4.28572
Daniyal ,183,1774065119672,0.228,3.03195,9.39405,13.47167,22.31098,-7.27155
Daniyal ,184,1774065119679,-0.27405,3.50595,9.16905,10.30465,25.97433,-6.7831
Daniyal ,185,1774065119688,-0.27405,3.50595,9.16905,3.41125,33.96279,-6.35768
Daniyal ,186,1774065119699,-0.29505,2.424,9.159,-2.56041,36.52319,-5.14444
Daniyal ,187,1774065119711,-0.29505,2.424,9.159,-3.1749,21.27894,-5.99529
Daniyal ,188,1774065119721,-0.147,2.97,9.51105,-2.13498,14.51159,-5.50684
Daniyal ,189,1774065119732,-0.147,2.97,9.51105,-0.6145,5.17596,-8.67386
Daniyal ,190,1774065119745,-0.267,2.85495,9.03495,-0.4333,-7.93332,-10.9349
Daniyal ,191,1774065119755,-0.267,2.85495,9.03495,-1.70956,-20.0657,-10.44645
Daniyal ,192,1774065119767,-1.08795,3.393,9.37005,-2.01681,-25.43073,-10.26525
Daniyal ,193,1774065119777,0.25695,4.25295,10.62405,-12.68385,-4.51419,-6.05831
Daniyal ,194,1774065119788,0.25695,4.25295,10.62405,-13.90497,-13.7868,-13.18806
Daniyal ,195,1774065119800,-0.52995,4.78695,10.596,-14.57461,-21.09774,-12.94383
Daniyal ,196,1774065119810,-0.52995,4.78695,10.596,-20.36507,-25.18651,-13.00686
Daniyal ,197,1774065119822,0.01005,5.65605,11.721,-35.18391,-4.21482,-12.88081
Daniyal ,198,1774065119833,0.01005,5.65605,11.721,-37.31889,12.739,-12.58144
Daniyal ,199,1774065119844,-0.918,4.653,13.5,-31.64661,20.84564,-9.65076
Daniyal ,200,1774065119855,-0.918,4.653,13.5,-32.8047,15.72483,-7.70485
Daniyal ,201,1774065119866,0.36495,3.21105,10.15305,-32.56047,1.21324,-11.72272
Daniyal ,202,1774065119877,0.01995,2.41905,9.49695,-28.84198,-7.50002,-9.83196
Daniyal ,203,1774065119888,0.01995,2.41905,9.49695,-25.18651,-14.27524,-7.46063
Daniyal ,204,1774065119901,-0.894,2.11695,8.94105,-21.46801,-11.28154,-5.99529
Daniyal ,205,1774065119911,-0.894,2.11695,8.94105,-19.39605,-17.80466,-8.13027
Daniyal ,206,1774065119921,-0.49395,1.842,7.97895,-21.16076,-24.27264,-9.22534
Daniyal ,207,1774065119932,-0.49395,1.842,7.97895,-19.93965,-21.40499,-8.55569
Daniyal ,208,1774065119944,0.29505,1.54305,8.649,-17.50529,-19.8845,-11.72272
Daniyal ,209,1774065119957,0.16605,3.12495,10.962,-11.95118,-2.19801,-14.71642
Daniyal ,210,1774065119966,0.16605,3.12495,10.962,-7.25579,13.10927,-14.16495
Daniyal ,211,1774065119983,-0.501,2.69895,10.72995,-4.26997,21.03471,-12.76263
Daniyal ,212,1774065119989,-0.501,2.69895,10.72995,-4.02574,23.10667,-11.36032
Daniyal ,213,1774065119997,-0.39795,1.65495,8.268,-3.60032,23.35089,-10.07618
Daniyal ,214,1774065120009,-0.39795,1.65495,8.268,-3.96272,16.33932,-9.35139
Daniyal ,215,1774065120019,-0.21105,1.2,6.94905,-3.60032,5.12081,-8.06725
Daniyal ,216,1774065120030,-0.21105,1.2,6.94905,-1.40231,-8.84718,-4.2227
Daniyal ,217,1774065120041,0.05595,0.918,6.38895,2.67858,-11.83301,-2.63919
Daniyal ,218,1774065120052,0.05595,0.918,6.38895,8.16966,-14.57461,-4.28572
Daniyal ,219,1774065120064,-0.15195,0.82395,6.11805,12.25055,-18.35613,-4.46692
Daniyal ,220,1774065120077,0.135,0.04605,5.67105,15.60665,-24.20962,-4.95537
Daniyal ,221,1774065120089,0.135,0.04605,5.67105,16.21327,-20.67232,-9.89498
Daniyal ,222,1774065120098,0.02505,1.00905,6.71505,17.85981,-15.85876,-11.91179
Daniyal ,223,1774065120109,0.02505,1.00905,6.71505,21.34196,-15.73271,-10.99792
Daniyal ,224,1774065120122,-0.48195,0.90105,7.002,21.21591,-11.95118,-9.22534
Daniyal ,225,1774065120133,-0.48195,0.90105,7.002,13.59772,2.31618,-7.27155
Daniyal ,226,1774065120144,0.12,2.46405,8.72805,7.50002,-7.01945,-9.28836
Daniyal ,227,1774065120157,0.12,2.46405,8.72805,3.16702,-17.01685,-10.50948
Daniyal ,228,1774065120164,-0.97995,4.39395,11.127,-0.30725,-25.91918,-7.76
Daniyal ,229,1774065120175,-0.97995,4.39395,11.127,-0.12605,-28.54261,-6.48373
Daniyal ,230,1774065120187,0.10095,4.35105,10.33005,-5.36503,-8.60296,-8.24844
Daniyal ,231,1774065120201,1.17405,4.30305,8.59905,-12.9911,-2.01681,-11.23427
Daniyal ,232,1774065120210,1.17405,4.30305,8.59905,-17.37924,1.03204,-14.10192
Daniyal ,233,1774065120222,0.51105,2.98095,8.28795,-17.19804,3.96272,-13.43228
Daniyal ,234,1774065120232,0.51105,2.98095,8.28795,-22.38188,-1.59139,-15.92966
Daniyal ,235,1774065120241,0.36,5.103,10.51905,-28.35353,-5.18384,-18.97851
Daniyal ,236,1774065120254,0.36,5.103,10.51905,-21.04259,-7.20065,-18.25372
Daniyal ,237,1774065120265,-0.10905,4.164,14.271,-5.55411,-2.74948,-16.90655
Daniyal ,238,1774065120278,0.147,2.93595,12.59505,6.82249,3.77364,-14.6534
Daniyal ,239,1774065120291,0.147,2.93595,12.59505,8.41389,1.09507,-11.84877
Daniyal ,240,1774065120299,0.05595,3.91305,14.23005,9.32775,-8.78416,-8.18542
Daniyal ,241,1774065120310,0.05595,3.91305,14.23005,11.27366,-9.02838,-4.90022
Daniyal ,242,1774065120320,0.82905,3.96795,14.319,15.24426,-3.48215,-3.79728
Daniyal ,243,1774065120331,0.82905,3.96795,14.319,19.26213,3.47427,-4.28572
Daniyal ,244,1774065120343,0.252,2.115,11.17005,26.58094,15.36243,-3.19066
Daniyal ,245,1774065120354,0.252,2.115,11.17005,27.31361,19.56937,-0.69328
Daniyal ,246,1774065120366,-0.05295,0.774,7.809,21.82253,21.27894,2.78887
Daniyal ,247,1774065120376,-0.05295,0.774,7.809,16.03207,21.46013,5.89287
Daniyal ,248,1774065120388,-0.171,0.087,7.30395,13.59772,24.75321,5.53048
Daniyal ,249,1774065120400,-0.81195,-0.25005,6.588,13.71589,32.3714,6.26314
Daniyal ,250,1774065120411,-0.81195,-0.25005,6.588,15.42546,31.27633,9.67439
Daniyal ,251,1774065120419,-0.58695,1.2,6.28095,17.74164,21.15289,8.76052
Daniyal ,252,1774065120432,-0.58695,1.2,6.28095,11.58091,-4.33299,6.75159
Daniyal ,253,1774065120441,-0.939,3.08205,7.57395,3.47427,-15.00003,8.82355
Daniyal ,254,1774065120454,-0.939,3.08205,7.57395,-9.4538,-30.61457,8.02785
Daniyal ,255,1774065120464,-0.786,6.156,10.12395,-25.18651,-41.77006,5.5935
Daniyal ,256,1774065120478,-0.003,6.26205,12.942,-34.27004,-44.33046,8.02785
Daniyal ,257,1774065120487,-0.003,6.26205,12.942,-24.14659,-39.3357,8.57933
Daniyal ,258,1774065120500,1.449,3.819,12.19995,-7.56304,-33.29314,4.979
Daniyal ,259,1774065120511,1.449,3.819,12.19995,4.81356,-20.97957,3.15127
Daniyal ,260,1774065120522,0.90795,3.76005,8.922,10.84824,-10.4307,2.84402
Daniyal ,261,1774065120533,0.90795,3.76005,8.922,6.4601,-5.24686,-0.14181
Daniyal ,262,1774065120544,-0.063,2.469,7.383,-2.56041,-5.91651,-5.75106
Daniyal ,263,1774065120553,-0.063,2.469,7.383,-7.98846,0,-6.66493
Daniyal ,264,1774065120565,-0.29505,1.58295,8.97195,-7.74424,3.52942,-6.54676
Daniyal ,265,1774065120578,-0.29505,1.58295,8.97195,-5.73531,5.05779,-7.33458
Daniyal ,266,1774065120590,-0.47205,1.914,10.395,-3.96272,-3.66335,-5.14444
Daniyal ,267,1774065120608,-0.20895,1.48995,10.67895,4.63236,-15.55151,0.59086
Daniyal ,268,1774065120622,-0.09705,2.376,9.50595,-1.40231,-19.39605,3.94696
Daniyal ,269,1774065120636,-0.09705,2.376,9.50595,-8.53994,-23.11455,5.53048
Daniyal ,270,1774065120644,-0.18795,3.43905,10.902,-9.76105,-21.46801,4.86083
Daniyal ,271,1774065120657,-0.18795,3.43905,10.902,-12.19541,-18.35613,4.19119
Daniyal ,272,1774065120668,-0.18,2.874,9.279,-19.87662,-17.86769,3.45852
Daniyal ,273,1774065120677,-1.287,2.412,8.48895,-25.36771,-26.47065,3.88394
Daniyal ,274,1774065120687,-1.287,2.412,8.48895,-27.07727,-37.31889,5.5935
Daniyal ,275,1774065120700,3.729,1.96905,11.70195,-24.57201,-13.47955,7.05096
Daniyal ,276,1774065120711,3.729,1.96905,11.70195,-3.90757,22.49217,-5.08142
Daniyal ,277,1774065120721,-1.701,3.02895,8.24205,5.23898,-10.98217,-6.17649
Daniyal ,278,1774065120731,-1.701,3.02895,8.24205,0.85084,-21.89343,-0.81145
Daniyal ,279,1774065120744,0.02895,3.56805,9.96105,0.42542,-9.82408,-0.323
Daniyal ,280,1774065120755,0.02895,3.56805,9.96105,2.98583,-8.72113,0.10242
Daniyal ,281,1774065120767,0.54705,1.365,9.43905,8.16966,-1.03992,0.03939
Daniyal ,282,1774065120777,0.54705,1.365,9.43905,7.79939,7.01157,-0.14181
Daniyal ,283,1774065120788,0.99405,2.30895,8.304,6.21588,11.46274,-0.63025
Daniyal ,284,1774065120799,0.72105,1.54305,9.23295,7.79939,6.57827,-3.43488
Daniyal ,285,1774065120809,0.72105,1.54305,9.23295,10.48584,8.04361,-3.55305
Daniyal ,286,1774065120821,0.72405,2.00205,9.04695,10.79309,12.80203,-3.30883
Daniyal ,287,1774065120833,0.72405,2.00205,9.04695,8.77628,18.41128,-3.06461
Daniyal ,288,1774065120844,0.46005,2.61495,9.252,1.64654,8.90233,-6.23951
Daniyal ,289,1774065120854,0.46005,2.61495,9.252,1.76471,19.26213,-5.19959
Daniyal ,290,1774065120867,0.27105,2.46195,11.175,5.90863,23.71329,-5.68804
Daniyal ,291,1774065120877,0.27105,2.46195,11.175,9.14655,29.32255,-5.81409
Daniyal ,292,1774065120886,0.405,2.601,10.11705,7.68122,34.38821,-6.30254
Daniyal ,293,1774065120899,0.132,3.70695,10.81605,3.5373,23.1697,-5.93226
Daniyal ,294,1774065120913,0.132,3.70695,10.81605,6.15285,10.73007,-7.64182
Daniyal ,295,1774065120920,0.132,3.70695,10.81605,6.15285,10.73007,-7.64182
Daniyal ,296,1774065120930,-0.35805,2.064,8.75895,2.85978,12.5578,-6.60191
Daniyal ,297,1774065120942,-0.40305,2.51205,7.773,-7.31882,1.82774,-4.77417
Daniyal ,298,1774065120953,-0.40305,2.51205,7.773,-10.79309,-8.78416,-3.43488
Daniyal ,299,1774065120964,-0.267,1.85895,8.838,-8.90233,-15.61453,-3.55305
Daniyal ,300,1774065120976,-0.267,1.85895,8.838,-6.0977,-22.50005,-3.25368
Daniyal ,301,1774065120988,-0.18795,2.53605,8.53695,-8.29571,-20.24689,-4.77417
